cooling system type,climate zone,Location,PUE mean,ERF mean,ERE mean
1,6A,FARGO ND,1.1608,0.000798,1.1598
1,4A,KNOXVILLE TN,1.1734,0.000811,1.1724
1,3B,LUBBOCK TX,1.1727,0.000888,1.1717
1,3B,MIDLAND TX,1.1727,0.000888,1.1717
1,4A,NASHVILLE TN,1.1734,0.000811,1.1724
1,5A,OMAHA NE,1.1682,0.00085,1.1672
2,6A,FARGO ND,1.1416,0.000849,1.1407
2,4A,KNOXVILLE TN,1.1498,0.00094,1.1487
2,3B,LUBBOCK TX,1.1372,0.00089,1.1362
2,3B,MIDLAND TX,1.1372,0.00089,1.1362
2,4A,NASHVILLE TN,1.1498,0.00094,1.1487
2,5A,OMAHA NE,1.1452,0.000837,1.1442
3,6A,FARGO ND,1.5164,0.000881,1.5151
3,4A,KNOXVILLE TN,1.5183,0.000917,1.5169
3,3B,LUBBOCK TX,1.5515,0.000806,1.5503
3,3B,MIDLAND TX,1.5515,0.000806,1.5503
3,4A,NASHVILLE TN,1.5183,0.000917,1.5169
3,5A,OMAHA NE,1.5116,0.000835,1.5104
4,6A,FARGO ND,1.3941,0.000897,1.3928
4,4A,KNOXVILLE TN,1.3989,0.000852,1.3977
4,3B,LUBBOCK TX,1.4003,0.000894,1.3991
4,3B,MIDLAND TX,1.4003,0.000894,1.3991
4,4A,NASHVILLE TN,1.3989,0.000852,1.3977
4,5A,OMAHA NE,1.3967,0.000903,1.3954
5,6A,FARGO ND,1.6183,0.00094,1.6168
5,4A,KNOXVILLE TN,1.6275,0.000875,1.626
5,3B,LUBBOCK TX,1.634,0.000858,1.6325
5,3B,MIDLAND TX,1.634,0.000858,1.6325
5,4A,NASHVILLE TN,1.6275,0.000875,1.626
5,5A,OMAHA NE,1.6264,0.000888,1.625
6,6A,FARGO ND,1.5007,0.000848,1.4994
6,4A,KNOXVILLE TN,1.5598,0.000823,1.5585
6,3B,LUBBOCK TX,1.7709,0.000892,1.7693
6,3B,MIDLAND TX,1.7709,0.000892,1.7693
6,4A,NASHVILLE TN,1.5598,0.000823,1.5585
6,5A,OMAHA NE,1.5239,0.000892,1.5225
7,6A,FARGO ND,1.6767,0.000909,1.6752
7,4A,KNOXVILLE TN,1.7725,0.000951,1.7709
7,3B,LUBBOCK TX,1.9717,0.000867,1.97
7,3B,MIDLAND TX,1.9717,0.000867,1.97
7,4A,NASHVILLE TN,1.7725,0.000951,1.7709
7,5A,OMAHA NE,1.7193,0.000897,1.7178
8,6A,FARGO ND,1.8323,0.000837,1.8308
8,4A,KNOXVILLE TN,1.8474,0.000865,1.8458
8,3B,LUBBOCK TX,1.8565,0.000902,1.8549
8,3B,MIDLAND TX,1.8565,0.000902,1.8549
8,4A,NASHVILLE TN,1.8474,0.000865,1.8458
8,5A,OMAHA NE,1.8421,0.000827,1.8406
9,6A,FARGO ND,1.8236,0.000834,1.8221
9,4A,KNOXVILLE TN,1.9314,0.000845,1.9298
9,3B,LUBBOCK TX,2.1669,0.000856,2.1651
9,3B,MIDLAND TX,2.1669,0.000856,2.1651
9,4A,NASHVILLE TN,1.9314,0.000845,1.9298
9,5A,OMAHA NE,1.8685,0.000948,1.8667
10,6A,FARGO ND,2.0891,0.000823,2.0873
10,4A,KNOXVILLE TN,2.1151,0.00086,2.1133
10,3B,LUBBOCK TX,2.2308,0.000911,2.2287
10,3B,MIDLAND TX,2.2308,0.000911,2.2287
10,4A,NASHVILLE TN,2.1151,0.00086,2.1133
10,5A,OMAHA NE,2.0975,0.000792,2.0958
11,6A,FARGO ND,1.2368,0.000893,1.2357
11,4A,KNOXVILLE TN,1.2824,0.000867,1.2812
11,3B,LUBBOCK TX,1.3036,0.00084,1.3025
11,3B,MIDLAND TX,1.3036,0.00084,1.3025
11,4A,NASHVILLE TN,1.2824,0.000867,1.2812
11,5A,OMAHA NE,1.2394,0.000879,1.2383
12,6A,FARGO ND,1.4261,0.020995,1.3962
12,4A,KNOXVILLE TN,1.4392,0.020934,1.409
12,3B,LUBBOCK TX,1.4804,0.020959,1.4494
12,3B,MIDLAND TX,1.4804,0.020959,1.4494
12,4A,NASHVILLE TN,1.4392,0.020934,1.409
12,5A,OMAHA NE,1.4289,0.020884,1.399
13,6A,FARGO ND,1.3558,0.027506,1.3186
13,4A,KNOXVILLE TN,1.3653,0.027518,1.3278
13,3B,LUBBOCK TX,1.3937,0.027519,1.3553
13,3B,MIDLAND TX,1.3937,0.027519,1.3553
13,4A,NASHVILLE TN,1.3653,0.027518,1.3278
13,5A,OMAHA NE,1.3582,0.027555,1.3208
14,6A,FARGO ND,1.5129,0.020903,1.4813
14,4A,KNOXVILLE TN,1.5328,0.020879,1.5008
14,3B,LUBBOCK TX,1.5922,0.020909,1.559
14,3B,MIDLAND TX,1.5922,0.020909,1.559
14,4A,NASHVILLE TN,1.5328,0.020879,1.5008
14,5A,OMAHA NE,1.5192,0.020896,1.4874
