State,County,cooling system type,climate zone,PUE mean
Alabama,Autauga County,1,3A,1.21
Alabama,Autauga County,2,3A,1.22
Alabama,Autauga County,3,3A,1.23
Alabama,Autauga County,4,3A,1.24
Alabama,Autauga County,5,3A,1.25
Alabama,Autauga County,6,3A,1.26
Alabama,Autauga County,7,3A,1.27
Alabama,Autauga County,8,3A,1.28
Alabama,Autauga County,9,3A,1.29
Alabama,Autauga County,10,3A,1.3
Alabama,Autauga County,11,3A,1.31
Alabama,Autauga County,12,3A,1.32
Alabama,Autauga County,13,3A,1.33
Alabama,Autauga County,14,3A,1.34
Alabama,Baldwin County,1,,
Alabama,Baldwin County,2,,
Alabama,Baldwin County,3,,
Alabama,Baldwin County,4,,
Alabama,Baldwin County,5,,
Alabama,Baldwin County,6,,
Alabama,Baldwin County,7,,
Alabama,Baldwin County,8,,
Alabama,Baldwin County,9,,
Alabama,Baldwin County,10,,
Alabama,Baldwin County,11,,
Alabama,Baldwin County,12,,
Alabama,Baldwin County,13,,
Alabama,Baldwin County,14,,
Alabama,Barbour County,1,,
Alabama,Barbour County,2,,
Alabama,Barbour County,3,,
Alabama,Barbour County,4,,
Alabama,Barbour County,5,,
Alabama,Barbour County,6,,
Alabama,Barbour County,7,,
Alabama,Barbour County,8,,
Alabama,Barbour County,9,,
Alabama,Barbour County,10,,
Alabama,Barbour County,11,,
Alabama,Barbour County,12,,
Alabama,Barbour County,13,,
Alabama,Barbour County,14,,
Alabama,Bibb County,1,,
Alabama,Bibb County,2,,
Alabama,Bibb County,3,,
Alabama,Bibb County,4,,
Alabama,Bibb County,5,,
Alabama,Bibb County,6,,
Alabama,Bibb County,7,,
Alabama,Bibb County,8,,
Alabama,Bibb County,9,,
Alabama,Bibb County,10,,
Alabama,Bibb County,11,,
Alabama,Bibb County,12,,
Alabama,Bibb County,13,,
Alabama,Bibb County,14,,
Alabama,Blount County,1,,
Alabama,Blount County,2,,
Alabama,Blount County,3,,
Alabama,Blount County,4,,
Alabama,Blount County,5,,
Alabama,Blount County,6,,
Alabama,Blount County,7,,
Alabama,Blount County,8,,
Alabama,Blount County,9,,
Alabama,Blount County,10,,
Alabama,Blount County,11,,
Alabama,Blount County,12,,
Alabama,Blount County,13,,
Alabama,Blount County,14,,
Alabama,Bullock County,1,,
Alabama,Bullock County,2,,
Alabama,Bullock County,3,,
Alabama,Bullock County,4,,
Alabama,Bullock County,5,,
Alabama,Bullock County,6,,
Alabama,Bullock County,7,,
Alabama,Bullock County,8,,
Alabama,Bullock County,9,,
Alabama,Bullock County,10,,
Alabama,Bullock County,11,,
Alabama,Bullock County,12,,
Alabama,Bullock County,13,,
Alabama,Bullock County,14,,
Alabama,Butler County,1,,
Alabama,Butler County,2,,
Alabama,Butler County,3,,
Alabama,Butler County,4,,
Alabama,Butler County,5,,
Alabama,Butler County,6,,
Alabama,Butler County,7,,
Alabama,Butler County,8,,
Alabama,Butler County,9,,
Alabama,Butler County,10,,
Alabama,Butler County,11,,
Alabama,Butler County,12,,
Alabama,Butler County,13,,
Alabama,Butler County,14,,
Alabama,Calhoun County,1,,
