State,County,cooling system type,climate zone,PUE mean
Alabama,Autauga County,1,3A,1.1968
Alabama,Autauga County,2,3A,1.15765
Alabama,Autauga County,3,3A,1.53995
Alabama,Autauga County,4,3A,1.4143
Alabama,Autauga County,5,3A,1.63775
Alabama,Autauga County,6,3A,1.62605
Alabama,Autauga County,7,3A,1.8597
Alabama,Autauga County,8,3A,1.87095
Alabama,Autauga County,9,3A,2.0324
Alabama,Autauga County,10,3A,2.1448
Alabama,Autauga County,11,3A,1.2664
Alabama,Autauga County,12,3A,1.4528
Alabama,Autauga County,13,3A,1.37885
Alabama,Autauga County,14,3A,1.60905
Alabama,Baldwin County,1,2A,1.2454
Alabama,Baldwin County,2,2A,1.18025
Alabama,Baldwin County,3,2A,1.58525
Alabama,Baldwin County,4,2A,1.4445
Alabama,Baldwin County,5,2A,1.6482
Alabama,Baldwin County,6,2A,1.7992
Alabama,Baldwin County,7,2A,1.9688
Alabama,Baldwin County,8,2A,1.8865
Alabama,Baldwin County,9,2A,2.15985
Alabama,Baldwin County,10,2A,2.19655
Alabama,Baldwin County,11,2A,1.29975
Alabama,Baldwin County,12,2A,1.47915
Alabama,Baldwin County,13,2A,1.39785
Alabama,Baldwin County,14,2A,1.7466
Alabama,Barbour County,1,3A,1.1968
Alabama,Barbour County,2,3A,1.15765
Alabama,Barbour County,3,3A,1.53995
Alabama,Barbour County,4,3A,1.4143
Alabama,Barbour County,5,3A,1.63775
Alabama,Barbour County,6,3A,1.62605
Alabama,Barbour County,7,3A,1.8597
Alabama,Barbour County,8,3A,1.87095
Alabama,Barbour County,9,3A,2.0324
Alabama,Barbour County,10,3A,2.1448
Alabama,Barbour County,11,3A,1.2664
Alabama,Barbour County,12,3A,1.4528
Alabama,Barbour County,13,3A,1.37885
Alabama,Barbour County,14,3A,1.60905
Alabama,Bibb County,1,3A,1.1968
Alabama,Bibb County,2,3A,1.15765
Alabama,Bibb County,3,3A,1.53995
Alabama,Bibb County,4,3A,1.4143
Alabama,Bibb County,5,3A,1.63775
Alabama,Bibb County,6,3A,1.62605
Alabama,Bibb County,7,3A,1.8597
Alabama,Bibb County,8,3A,1.87095
Alabama,Bibb County,9,3A,2.0324
Alabama,Bibb County,10,3A,2.1448
Alabama,Bibb County,11,3A,1.2664
Alabama,Bibb County,12,3A,1.4528
Alabama,Bibb County,13,3A,1.37885
Alabama,Bibb County,14,3A,1.60905
Alabama,Blount County,1,3A,1.1968
Alabama,Blount County,2,3A,1.15765
Alabama,Blount County,3,3A,1.53995
Alabama,Blount County,4,3A,1.4143
Alabama,Blount County,5,3A,1.63775
Alabama,Blount County,6,3A,1.62605
Alabama,Blount County,7,3A,1.8597
Alabama,Blount County,8,3A,1.87095
Alabama,Blount County,9,3A,2.0324
Alabama,Blount County,10,3A,2.1448
Alabama,Blount County,11,3A,1.2664
Alabama,Blount County,12,3A,1.4528
Alabama,Blount County,13,3A,1.37885
Alabama,Blount County,14,3A,1.60905
Alabama,Bullock County,1,3A,1.1968
Alabama,Bullock County,2,3A,1.15765
Alabama,Bullock County,3,3A,1.53995
Alabama,Bullock County,4,3A,1.4143
Alabama,Bullock County,5,3A,1.63775
Alabama,Bullock County,6,3A,1.62605
Alabama,Bullock County,7,3A,1.8597
Alabama,Bullock County,8,3A,1.87095
Alabama,Bullock County,9,3A,2.0324
Alabama,Bullock County,10,3A,2.1448
Alabama,Bullock County,11,3A,1.2664
Alabama,Bullock County,12,3A,1.4528
Alabama,Bullock County,13,3A,1.37885
Alabama,Bullock County,14,3A,1.60905
Alabama,Butler County,1,3A,1.1968
Alabama,Butler County,2,3A,1.15765
Alabama,Butler County,3,3A,1.53995
Alabama,Butler County,4,3A,1.4143
Alabama,Butler County,5,3A,1.63775
Alabama,Butler County,6,3A,1.62605
Alabama,Butler County,7,3A,1.8597
Alabama,Butler County,8,3A,1.87095
Alabama,Butler County,9,3A,2.0324
Alabama,Butler County,10,3A,2.1448
Alabama,Butler County,11,3A,1.2664
Alabama,Butler County,12,3A,1.4528
Alabama,Butler County,13,3A,1.37885
Alabama,Butler County,14,3A,1.60905
Alabama,Calhoun County,1,3A,1.1968
Alabama,Calhoun County,2,3A,1.15765
Alabama,Calhoun County,3,3A,1.53995
Alabama,Calhoun County,4,3A,1.4143
Alabama,Calhoun County,5,3A,1.63775
Alabama,Calhoun County,6,3A,1.62605
Alabama,Calhoun County,7,3A,1.8597
Alabama,Calhoun County,8,3A,1.87095
Alabama,Calhoun County,9,3A,2.0324
