State,County,cooling system type,climate zone,PUE mean,WR_CaseB_DWSF_L_per_kWh,WR_SWI_L_per_kWh
Alabama,Autauga County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Autauga County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Autauga County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Autauga County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Autauga County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Autauga County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Autauga County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Autauga County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Autauga County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Autauga County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Autauga County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Autauga County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Autauga County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Autauga County,14,3A,1.60905,-7.41320326,0.687173942
Alabama,Baldwin County,1,2A,1.2454,15.08772152,25.29053994
Alabama,Baldwin County,2,2A,1.18025,15.08772152,25.29053994
Alabama,Baldwin County,3,2A,1.58525,15.08772152,25.29053994
Alabama,Baldwin County,4,2A,1.4445,15.08772152,25.29053994
Alabama,Baldwin County,5,2A,1.6482,15.08772152,25.29053994
Alabama,Baldwin County,6,2A,1.7992,15.08772152,25.29053994
Alabama,Baldwin County,7,2A,1.9688,15.08772152,25.29053994
Alabama,Baldwin County,8,2A,1.8865,15.08772152,25.29053994
Alabama,Baldwin County,9,2A,2.15985,15.08772152,25.29053994
Alabama,Baldwin County,10,2A,2.19655,15.08772152,25.29053994
Alabama,Baldwin County,11,2A,1.29975,15.08772152,25.29053994
Alabama,Baldwin County,12,2A,1.47915,15.08772152,25.29053994
Alabama,Baldwin County,13,2A,1.39785,15.08772152,25.29053994
Alabama,Baldwin County,14,2A,1.7466,15.08772152,25.29053994
Alabama,Barbour County,1,3A,1.1968,-7.41320326,0.687173942
Alabama,Barbour County,2,3A,1.15765,-7.41320326,0.687173942
Alabama,Barbour County,3,3A,1.53995,-7.41320326,0.687173942
Alabama,Barbour County,4,3A,1.4143,-7.41320326,0.687173942
Alabama,Barbour County,5,3A,1.63775,-7.41320326,0.687173942
Alabama,Barbour County,6,3A,1.62605,-7.41320326,0.687173942
Alabama,Barbour County,7,3A,1.8597,-7.41320326,0.687173942
Alabama,Barbour County,8,3A,1.87095,-7.41320326,0.687173942
Alabama,Barbour County,9,3A,2.0324,-7.41320326,0.687173942
Alabama,Barbour County,10,3A,2.1448,-7.41320326,0.687173942
Alabama,Barbour County,11,3A,1.2664,-7.41320326,0.687173942
Alabama,Barbour County,12,3A,1.4528,-7.41320326,0.687173942
Alabama,Barbour County,13,3A,1.37885,-7.41320326,0.687173942
Alabama,Barbour County,14,3A,1.60905,-7.41320326,0.687173942
